endpoint,name,output_type,resolutions,duration_options,supports_768p,supports_2k,single_prompt_2k,historical_price,dated_page_evidence,verification
rhart-video-s-official/image-to-video-realistic,全能视频S-图生视频-支持真人-官方稳定版,video,,4|8|12,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""12""},""price"":10.0},{""when"":{""duration"":""4""},""price"":3.2},{""when"":{""duration"":""8""},""price"":6.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-v1/edit,全能图片V1-图生图-低价渠道版,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.07,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-v1/text-to-image,全能图片V1-文生图-低价渠道版,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.07,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-n-pro/edit,全能图片PRO-图生图-低价渠道版,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1k""},""price"":0.4},{""when"":{""resolution"":""2k""},""price"":0.4},{""when"":{""resolution"":""4k""},""price"":0.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-n-pro/text-to-image,全能图片PRO-文生图-低价渠道版,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1k""},""price"":0.4},{""when"":{""resolution"":""2k""},""price"":0.4},{""when"":{""resolution"":""4k""},""price"":0.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-n-pro-official/edit,全能图片PRO-图生图-官方稳定版,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1k""},""price"":0.8},{""when"":{""resolution"":""2k""},""price"":1.0},{""when"":{""resolution"":""4k""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-n-pro-official/text-to-image,全能图片PRO-文生图-官方稳定版,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1k""},""price"":0.8},{""when"":{""resolution"":""2k""},""price"":1.0},{""when"":{""resolution"":""4k""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-fast/text-to-video,全能视频V3.1-fast-文生视频-低价渠道版,video,720p|1080p|4k,8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":1.5},{""when"":{""resolution"":""4k""},""price"":1.5},{""when"":{""resolution"":""720p""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-pro/text-to-video,全能视频V3.1-pro-文生视频-低价渠道版,video,720p|1080p|4k,8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":1.0},{""when"":{""resolution"":""4k""},""price"":1.4},{""when"":{""resolution"":""720p""},""price"":0.9}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-fast/image-to-video,全能视频V3.1-fast-图生视频-低价渠道版,video,720p|1080p|4k,8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":1.5},{""when"":{""resolution"":""4k""},""price"":1.5},{""when"":{""resolution"":""720p""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-s/sora-upload-character,全能视频S-角色上传-低价渠道版,string,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.05,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
alibaba/wan-2.6/text-to-video,万相2.6-文生视频,video,1280*720|720*1280|1920*1080|1080*1920,5|10|15,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""duration""],""rules"":[{""when"":{""resolution"":""1080*1920"",""duration"":""10""},""price"":7.5},{""when"":{""resolution"":""1080*1920"",""duration"":""15""},""price"":11.25},{""when"":{""resolution"":""1080*1920"",""duration"":""5""},""price"":3.75},{""when"":{""resolution"":""1280*720"",""duration"":""10""},""price"":4.5},{""when"":{""resolution"":""1280*720"",""duration"":""15""},""price"":6.75},{""when"":{""resolution"":""1280*720"",""duration"":""5""},""price"":2.25},{""when"":{""resolution"":""1920*1080"",""duration"":""10""},""price"":7.5},{""when"":{""resolution"":""1920*1080"",""duration"":""15""},""price"":11.25},{""when"":{""resolution"":""1920*1080"",""duration"":""5""},""price"":3.75},{""when"":{""resolution"":""720*1280"",""duration"":""10""},""price"":4.5},{""when"":{""resolution"":""720*1280"",""duration"":""15""},""price"":6.75},{""when"":{""resolution"":""720*1280"",""duration"":""5""},""price"":2.25}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
alibaba/wan-2.6/image-to-video,万相2.6-图生视频,video,720p|1080p,5|10|15,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""duration""],""rules"":[{""when"":{""resolution"":""1080p"",""duration"":""10""},""price"":7.5},{""when"":{""resolution"":""1080p"",""duration"":""15""},""price"":11.25},{""when"":{""resolution"":""1080p"",""duration"":""5""},""price"":3.75},{""when"":{""resolution"":""720p"",""duration"":""10""},""price"":4.5},{""when"":{""resolution"":""720p"",""duration"":""15""},""price"":6.75},{""when"":{""resolution"":""720p"",""duration"":""5""},""price"":2.25}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v2.5-turbo-pro/text-to-video,可灵文生视频2.5-turbo-pro,video,,5|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""10""},""price"":3.5},{""when"":{""duration"":""5""},""price"":1.75}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v2.5-turbo-pro/image-to-video,可灵图生视频2.5-turbo-pro,video,,5|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""10""},""price"":3.5},{""when"":{""duration"":""5""},""price"":1.75}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v2.5-turbo-std/image-to-video,可灵图生视频2.5-turbo-std,video,,5|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""10""},""price"":2.1},{""when"":{""duration"":""5""},""price"":1.05}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
vidu/text-to-video,Vidu-文生视频-q2,video,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""duration""],""rules"":[{""when"":{""resolution"":""1080p"",""duration"":""1""},""price"":0.44},{""when"":{""resolution"":""1080p"",""duration"":""10""},""price"":2.41},{""when"":{""resolution"":""1080p"",""duration"":""2""},""price"":0.66},{""when"":{""resolution"":""1080p"",""duration"":""3""},""price"":0.88},{""when"":{""resolution"":""1080p"",""duration"":""4""},""price"":1.09},{""when"":{""resolution"":""1080p"",""duration"":""5""},""price"":1.31},{""when"":{""resolution"":""1080p"",""duration"":""6""},""price"":1.53},{""when"":{""resolution"":""1080p"",""duration"":""7""},""price"":1.75},{""when"":{""resolution"":""1080p"",""duration"":""8""},""price"":1.97},{""when"":{""resolution"":""1080p"",""duration"":""9""},""price"":2.19},{""when"":{""resolution"":""540p"",""duration"":""1""},""price"":0.22},{""when"":{""resolution"":""540p"",""duration"":""10""},""price"":0.61},{""when"":{""resolution"":""540p"",""duration"":""2""},""price"":0.26},{""when"":{""resolution"":""540p"",""duration"":""3""},""price"":0.31},{""when"":{""resolution"":""540p"",""duration"":""4""},""price"":0.35},{""when"":{""resolution"":""540p"",""duration"":""5""},""price"":0.39},{""when"":{""resolution"":""540p"",""duration"":""6""},""price"":0.44},{""when"":{""resolution"":""540p"",""duration"":""7""},""price"":0.48},{""when"":{""resolution"":""540p"",""duration"":""8""},""price"":0.53},{""when"":{""resolution"":""540p"",""duration"":""9""},""price"":0.57},{""when"":{""resolution"":""720p"",""duration"":""1""},""price"":0.33},{""when"":{""resolution"":""720p"",""duration"":""10""},""price"":1.31},{""when"":{""resolution"":""720p"",""duration"":""2""},""price"":0.44},{""when"":{""resolution"":""720p"",""duration"":""3""},""price"":0.55},{""when"":{""resolution"":""720p"",""duration"":""4""},""price"":0.66},{""when"":{""resolution"":""720p"",""duration"":""5""},""price"":0.77},{""when"":{""resolution"":""720p"",""duration"":""6""},""price"":0.88},{""when"":{""resolution"":""720p"",""duration"":""7""},""price"":0.98},{""when"":{""resolution"":""720p"",""duration"":""8""},""price"":1.09},{""when"":{""resolution"":""720p"",""duration"":""9""},""price"":1.2}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
vidu/start-end-to-video-q2-pro,Vidu-首尾帧生视频-q2-pro,video,540p|720p|1080p,1|2|3|4|5|6|7|8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""duration""],""rules"":[{""when"":{""resolution"":""1080p"",""duration"":""1""},""price"":1.2},{""when"":{""resolution"":""1080p"",""duration"":""2""},""price"":1.53},{""when"":{""resolution"":""1080p"",""duration"":""3""},""price"":1.86},{""when"":{""resolution"":""1080p"",""duration"":""4""},""price"":2.19},{""when"":{""resolution"":""1080p"",""duration"":""5""},""price"":2.52},{""when"":{""resolution"":""1080p"",""duration"":""6""},""price"":2.84},{""when"":{""resolution"":""1080p"",""duration"":""7""},""price"":3.17},{""when"":{""resolution"":""1080p"",""duration"":""8""},""price"":3.5},{""when"":{""resolution"":""540p"",""duration"":""1""},""price"":0.18},{""when"":{""resolution"":""540p"",""duration"":""2""},""price"":0.22},{""when"":{""resolution"":""540p"",""duration"":""3""},""price"":0.33},{""when"":{""resolution"":""540p"",""duration"":""4""},""price"":0.44},{""when"":{""resolution"":""540p"",""duration"":""5""},""price"":0.55},{""when"":{""resolution"":""540p"",""duration"":""6""},""price"":0.66},{""when"":{""resolution"":""540p"",""duration"":""7""},""price"":0.77},{""when"":{""resolution"":""540p"",""duration"":""8""},""price"":0.88},{""when"":{""resolution"":""720p"",""duration"":""1""},""price"":0.33},{""when"":{""resolution"":""720p"",""duration"":""2""},""price"":0.55},{""when"":{""resolution"":""720p"",""duration"":""3""},""price"":0.77},{""when"":{""resolution"":""720p"",""duration"":""4""},""price"":0.98},{""when"":{""resolution"":""720p"",""duration"":""5""},""price"":1.2},{""when"":{""resolution"":""720p"",""duration"":""6""},""price"":1.42},{""when"":{""resolution"":""720p"",""duration"":""7""},""price"":1.64},{""when"":{""resolution"":""720p"",""duration"":""8""},""price"":1.86}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
vidu/start-end-to-video-q2-turbo,Vidu-首尾帧生视频-q2-turbo,video,540p|720p|1080p,1|2|3|4|5|6|7|8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""duration""],""rules"":[{""when"":{""resolution"":""1080p"",""duration"":""1""},""price"":0.77},{""when"":{""resolution"":""1080p"",""duration"":""2""},""price"":0.98},{""when"":{""resolution"":""1080p"",""duration"":""3""},""price"":1.2},{""when"":{""resolution"":""1080p"",""duration"":""4""},""price"":1.42},{""when"":{""resolution"":""1080p"",""duration"":""5""},""price"":1.64},{""when"":{""resolution"":""1080p"",""duration"":""6""},""price"":1.86},{""when"":{""resolution"":""1080p"",""duration"":""7""},""price"":2.08},{""when"":{""resolution"":""1080p"",""duration"":""8""},""price"":2.3},{""when"":{""resolution"":""540p"",""duration"":""1""},""price"":0.13},{""when"":{""resolution"":""540p"",""duration"":""2""},""price"":0.18},{""when"":{""resolution"":""540p"",""duration"":""3""},""price"":0.22},{""when"":{""resolution"":""540p"",""duration"":""4""},""price"":0.26},{""when"":{""resolution"":""540p"",""duration"":""5""},""price"":0.31},{""when"":{""resolution"":""540p"",""duration"":""6""},""price"":0.35},{""when"":{""resolution"":""540p"",""duration"":""7""},""price"":0.39},{""when"":{""resolution"":""540p"",""duration"":""8""},""price"":0.44},{""when"":{""resolution"":""720p"",""duration"":""1""},""price"":0.18},{""when"":{""resolution"":""720p"",""duration"":""2""},""price"":0.22},{""when"":{""resolution"":""720p"",""duration"":""3""},""price"":0.44},{""when"":{""resolution"":""720p"",""duration"":""4""},""price"":0.66},{""when"":{""resolution"":""720p"",""duration"":""5""},""price"":0.88},{""when"":{""resolution"":""720p"",""duration"":""6""},""price"":1.09},{""when"":{""resolution"":""720p"",""duration"":""7""},""price"":1.31},{""when"":{""resolution"":""720p"",""duration"":""8""},""price"":1.53}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-s-official/text-to-video,全能视频S-文生视频-官方稳定版,video,,4|8|12,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""12""},""price"":6.83},{""when"":{""duration"":""4""},""price"":2.28},{""when"":{""duration"":""8""},""price"":4.55}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
seedream-v4.5/text-to-image,seedream-v4.5-文生图,image,2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/张"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.2,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-02/t2v-standard,海螺-02-文生视频-标准,video,,6|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""10""},""price"":3.0},{""when"":{""duration"":""6""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-2.3/t2v-standard,海螺-2.3-文生视频-标准,video,,6|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""10""},""price"":3.0},{""when"":{""duration"":""6""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-02/i2v-standard,海螺-02-图生视频-标准,video,,6|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""10""},""price"":3.0},{""when"":{""duration"":""6""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-2.3/i2v-standard,海螺-2.3-图生视频-标准,video,,6|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""10""},""price"":3.0},{""when"":{""duration"":""6""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-2.3-fast/image-to-video,海螺-2.3-fast-图生视频,video,,6|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""10""},""price"":1.69},{""when"":{""duration"":""6""},""price"":1.01}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-2.3-fast-pro/image-to-video,海螺-2.3-fast-pro-图生视频,video,,6,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":1.73,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
seedream-v4.5/image-to-image,seedream-v4.5-图生图,image,2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/张"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.2,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-2.3/image-to-video-pro,海螺-2.3-图生视频-pro,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":2.63,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-2.3/t2v-pro,海螺-2.3-文生视频-pro,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":2.63,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o1/text-to-video,可灵文生视频o1,video,,5|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""mode"",""duration""],""rules"":[{""when"":{""mode"":""pro"",""duration"":""10""},""price"":5.6},{""when"":{""mode"":""pro"",""duration"":""5""},""price"":2.8},{""when"":{""mode"":""std"",""duration"":""10""},""price"":4.2},{""when"":{""mode"":""std"",""duration"":""5""},""price"":2.1}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-02/i2v-pro,海螺-02-图生视频-pro,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":2.63,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o1/image-to-video,可灵图生视频o1,video,,5|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""mode"",""duration""],""rules"":[{""when"":{""mode"":""pro"",""duration"":""10""},""price"":5.6},{""when"":{""mode"":""pro"",""duration"":""5""},""price"":2.8},{""when"":{""mode"":""std"",""duration"":""10""},""price"":4.2},{""when"":{""mode"":""std"",""duration"":""5""},""price"":2.1}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-02/t2v-pro,海螺-02-文生视频-pro,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":2.63,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-02/standard,海螺-02-标准,video,,6|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""10""},""price"":3.0},{""when"":{""duration"":""6""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-02/pro,海螺-02-pro,video,,6,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":2.63,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
minimax/hailuo-02/fast,海螺-02-fast,video,,6|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""10""},""price"":0.75},{""when"":{""duration"":""6""},""price"":0.45}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o1/start-to-end,可灵首尾帧生视频o1,video,,5|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""mode"",""duration""],""rules"":[{""when"":{""mode"":""pro"",""duration"":""10""},""price"":5.6},{""when"":{""mode"":""pro"",""duration"":""5""},""price"":2.8},{""when"":{""mode"":""std"",""duration"":""10""},""price"":4.2},{""when"":{""mode"":""std"",""duration"":""5""},""price"":2.1}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-s-official/image-to-video,全能视频S-图生视频-官方稳定版,video,,4|8|12,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""12""},""price"":6.83},{""when"":{""duration"":""4""},""price"":2.28},{""when"":{""duration"":""8""},""price"":4.55}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-s-official/text-to-video-pro,全能视频S-文生视频-pro-官方稳定版,video,,4|8|12|16|20,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""size""],""rules"":[{""when"":{""size"":""1024x1792""},""price"":3.5},{""when"":{""size"":""1080x1920""},""price"":4.9},{""when"":{""size"":""1280x720""},""price"":2.1},{""when"":{""size"":""1792x1024""},""price"":3.5},{""when"":{""size"":""1920x1080""},""price"":4.9},{""when"":{""size"":""720x1280""},""price"":2.1}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-s-official/image-to-video-pro,全能视频S-图生视频-pro-官方稳定版,video,720p|1080p,4|8|12|16|20,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":3.5},{""when"":{""resolution"":""720p""},""price"":2.1}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o1-std/refrence-to-video,可灵参考生视频o1,video,,5|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""mode"",""duration""],""rules"":[{""when"":{""mode"":""pro"",""duration"":""10""},""price"":8.4},{""when"":{""mode"":""pro"",""duration"":""5""},""price"":4.2},{""when"":{""mode"":""std"",""duration"":""10""},""price"":6.3},{""when"":{""mode"":""std"",""duration"":""5""},""price"":3.15}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o1-std/edit-video,可灵视频编辑o1,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""mode""],""rules"":[{""when"":{""mode"":""pro""},""price"":8.4},{""when"":{""mode"":""std""},""price"":6.3}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
seedream-v4/text-to-image,seedream-v4-文生图,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/张"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.14,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
seedream-v4/image-to-image,seedream-v4-图生图,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/张"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.14,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v2.6-pro/text-to-video,可灵文生视频2.6-pro,video,,5|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration"",""sound""],""rules"":[{""when"":{""duration"":""10"",""sound"":""false""},""price"":3.5},{""when"":{""duration"":""10"",""sound"":""true""},""price"":7.0},{""when"":{""duration"":""5"",""sound"":""false""},""price"":1.75},{""when"":{""duration"":""5"",""sound"":""true""},""price"":3.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v2.6-pro/image-to-video,可灵图生视频2.6-pro,video,,5|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration"",""sound""],""rules"":[{""when"":{""duration"":""10"",""sound"":""false""},""price"":3.5},{""when"":{""duration"":""10"",""sound"":""true""},""price"":7.0},{""when"":{""duration"":""5"",""sound"":""false""},""price"":1.75},{""when"":{""duration"":""5"",""sound"":""true""},""price"":3.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
alibaba/wan-2.6/image-to-video-flash,万相2.6-图生视频Flash,video,720p|1080p,2|3|4|5|6|7|8|9|10|11|12|13|14|15,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""enableAudio""],""rules"":[{""when"":{""resolution"":""1080p"",""enableAudio"":""false""},""price"":0.19},{""when"":{""resolution"":""1080p"",""enableAudio"":""true""},""price"":0.38},{""when"":{""resolution"":""720p"",""enableAudio"":""false""},""price"":0.11},{""when"":{""resolution"":""720p"",""enableAudio"":""true""},""price"":0.23}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
