endpoint,name,output_type,resolutions,duration_options,supports_768p,supports_2k,single_prompt_2k,historical_price,dated_page_evidence,verification
minimax/hailuo-h3/context-ir-multimodal,MiniMax-H3-Context-IR 多模态增强提示词,string,,4|5|6|7|8|9|10|11|12|13|14|15,False,False,not_video,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
minimax/hailuo-h3/context-ir-text,MiniMax-H3-Context-IR 文本增强提示词,string,,4|5|6|7|8|9|10|11|12|13|14|15,False,False,not_video,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
minimax/hailuo-h3/context-ir-image,MiniMax-H3-Context-IR 图像增强提示词,image,,4|5|6|7|8|9|10|11|12|13|14|15,False,False,not_video,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
bytedance/seedance-2.5-token/text-to-video,seedance2.5/文生视频 Token,video,480p|720p|1080p|2k|4k,-1|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,False,True,direct_text,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
bytedance/seedance-2.5-token/image-to-video,seedance2.5/图生视频 Token,video,480p|720p|1080p|2k|4k,-1|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,False,True,required_media,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
bytedance/seedance-2.5-token/multimodal-video,seedance2.5/多模态视频 Token,video,480p|720p|1080p|2k|4k,-1|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,False,True,optional_media,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
rhart-video-g-official/reference-to-video-v1.5,全能视频X-参考生视频-官方稳定版-v1.5,video,480p|720p,,False,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
rhart-video-g-official/text-to-video-v1.5,全能视频X-文生视频-官方稳定版-v1.5,video,480p|720p|1080p,,False,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
rhart-imagine-image-2.0/text-to-image,xai/grok-imagine-2.0/text-to-image/economy,image,,,False,False,not_video,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
alibaba/wan-3.0/image-to-video,万相3.0-图生视频,video,480P|720P|1080P,auto|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,False,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
