endpoint,supports_2k,decision,reason,required_inputs,resolutions,duration_options,verification
rhart-video-v3.1-pro-official/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrls|resolution|generateAudio,720p|1080p|4k,,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-fast-official/video-extend,False,excluded_no_2k,无2K标签（不纳入2K比较）,video|resolution,720p|1080p,,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-fast-official/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|resolution|duration|generateAudio,720p|1080p|4k,4|6|8,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-pro-official/video-extend,False,excluded_no_2k,无2K标签（不纳入2K比较）,video|resolution,720p|1080p,,schema_snapshot_only; run evidence separately scoped
rhart-video-g-official/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|resolution|duration,720p|480p,6|10,schema_snapshot_only; run evidence separately scoped
rhart-video-g-official/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|aspectRatio|resolution|duration,720p|480p,6|10,schema_snapshot_only; run evidence separately scoped
rhart-video-g-official/edit-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|videoUrl|resolution,720p|480p,,schema_snapshot_only; run evidence separately scoped
kling-video-o3-std/video-edit,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|videoUrl|keepOriginalSound,,,schema_snapshot_only; run evidence separately scoped
kling-video-o3-pro/video-edit,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|videoUrl|keepOriginalSound,,,schema_snapshot_only; run evidence separately scoped
kling-video-o3-std/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|keepOriginalSound|duration,,,schema_snapshot_only; run evidence separately scoped
kling-video-o3-pro/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|keepOriginalSound|duration,,,schema_snapshot_only; run evidence separately scoped
alibaba/wan-2.6/reference-to-video-flash,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|size|duration|audio,,2|3|4|5|6|7|8|9|10,schema_snapshot_only; run evidence separately scoped
alibaba/wan-2.6/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|size|duration,,2|3|4|5|6|7|8|9|10,schema_snapshot_only; run evidence separately scoped
kling-v3.0-std/motion-control,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|videoUrl|characterOrientation,,,schema_snapshot_only; run evidence separately scoped
kling-v3.0-pro/motion-control,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|videoUrl|characterOrientation,,,schema_snapshot_only; run evidence separately scoped
vidu/reference-to-video-q3,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrls|duration|resolution,540p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
bytedance/dreamactor-v2,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|videoUrl,,,schema_snapshot_only; run evidence separately scoped
kling-lip-sync/lip-sync-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,sessionId|faceId|soundStartTime|soundEndTime|soundInsertTime,,,schema_snapshot_only; run evidence separately scoped
rhart-video/sparkvideo-2.0/text-to-video,True,direct_text,仅提示词直出,prompt|resolution|duration,480p|720p|native1080p|native4k|1080p|2k|4k,4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
rhart-video/sparkvideo-2.0-fast/text-to-video,True,direct_text,仅提示词直出,prompt|resolution|duration,480p|720p|native1080p|1080p|2k|4k,4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
rhart-video/sparkvideo-2.0/image-to-video,True,required_media,需前置媒体生成及计费,resolution|duration|firstFrameUrl,480p|720p|native1080p|native4k|1080p|2k|4k,4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
rhart-video/sparkvideo-2.0-fast/image-to-video,True,required_media,需前置媒体生成及计费,resolution|duration|firstFrameUrl,480p|720p|native1080p|1080p|2k|4k,4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
rhart-video/sparkvideo-2.0/multimodal-video,True,optional_media,无媒体输入待验证,prompt|resolution|duration,480p|720p|native1080p|native4k|1080p|2k|4k,4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
rhart-video/sparkvideo-2.0-fast/multimodal-video,True,optional_media,无媒体输入待验证,prompt|resolution|duration,480p|720p|native1080p|1080p|2k|4k,4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
vidu/reference-to-video-q3-mix,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrls|duration|resolution,720p|1080p,,schema_snapshot_only; run evidence separately scoped
alibaba/wan-2.7/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|resolution|aspectRatio,720P|1080P,2|3|4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
alibaba/wan-2.7/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|duration|aspectRatio,720P|1080P,2|3|4|5|6|7|8|9|10,schema_snapshot_only; run evidence separately scoped
alibaba/wan-2.7/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,firstImageUrl|resolution|duration,720P|1080P,2|3|4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
alibaba/wan-2.7/video-extend,False,excluded_no_2k,无2K标签（不纳入2K比较）,videoUrl|resolution|duration,720P|1080P,2|3|4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
alibaba/wan-2.7/video-edit,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrls|resolution|duration|aspectRatio,720P|1080P,0|2|3|4|5|6|7|8|9|10,schema_snapshot_only; run evidence separately scoped
rhart-video-s/image-to-video-pro-deprecated,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|duration|aspectRatio,,15|25,schema_snapshot_only; run evidence separately scoped
rhart-video-s/text-to-video-pro-deprecated,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|aspectRatio,,15|25,schema_snapshot_only; run evidence separately scoped
pixverse-v6/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|duration|generateAudioSwitch,360p|540p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
pixverse-v6/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|prompt|resolution|duration|generateAudioSwitch,360p|540p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
pixverse-v6/transition,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|endImageUrl|resolution|duration|generateAudioSwitch|generateMultiClipSwitch,360p|540p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
alibaba/wan-2.5-preview/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|size,,5|10,schema_snapshot_only; run evidence separately scoped
alibaba/wan-2.5-preview/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|duration|resolution,480p|720p|1080p,5|10,schema_snapshot_only; run evidence separately scoped
rhart-video-s/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|duration|aspectRatio|prompt,,10|15,schema_snapshot_only; run evidence separately scoped
rhart-video-s/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,duration|prompt|aspectRatio,,10|15,schema_snapshot_only; run evidence separately scoped
rhart-video/video-upscaler,True,upscaler,需源视频；非生成式再生成,videoUrl|targetResolution,720p|1080p|2k|4k,,schema_snapshot_only; run evidence separately scoped
rhart-video/video-fps-increaser,False,excluded_no_2k,无2K标签（不纳入2K比较）,videoUrl,,,schema_snapshot_only; run evidence separately scoped
rhart-video-g-official/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrls|prompt|duration|resolution,720p|480p,6|10,schema_snapshot_only; run evidence separately scoped
rhart-video-g-official/video-extend,False,excluded_no_2k,无2K标签（不纳入2K比较）,videoUrl|prompt|duration,,6|10,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-lite-official/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|duration,720p|1080p,4|6|8,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-lite-official/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|duration|resolution,720p|1080p,4|6|8,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-lite-official/start-end-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|lastImageUrl|resolution,720p|1080p,,schema_snapshot_only; run evidence separately scoped
alibaba/happyhorse-1.0/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|duration,720p|1080p,3|4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
alibaba/happyhorse-1.0/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|resolution|duration,720p|1080p,3|4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
kling-v3-4k/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|duration,,,schema_snapshot_only; run evidence separately scoped
kling-v3-4k/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration,,3|4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
kling-video-o3-4k/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration,,,schema_snapshot_only; run evidence separately scoped
kling-video-o3-4k/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|duration,,,schema_snapshot_only; run evidence separately scoped
kling-video-o3-4k/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration,,,schema_snapshot_only; run evidence separately scoped
alibaba/happyhorse-1.0/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrls|resolution|duration,720p|1080p,3|4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
alibaba/happyhorse-1.0/video-edit,False,excluded_no_2k,无2K标签（不纳入2K比较）,videoUrl|prompt|resolution,720p|1080p,,schema_snapshot_only; run evidence separately scoped
skyreels-v4/text-to-video-std,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|sound|promptOptimizer|resolution,480p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
skyreels-v4/image-to-video-std,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|sound|promptOptimizer|resolution,480p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
kling-v2.5-turbo-std/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|aspectRatio,,5|10,schema_snapshot_only; run evidence separately scoped
skyreels-v4/text-to-video-fast,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|promptOptimizer|resolution,480p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
skyreels-v4/image-to-video-fast,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|promptOptimizer|resolution,480p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
skyreels-v4/omni-reference-std,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|sound|resolution,480p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
skyreels-v4/omni-reference-fast,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution,480p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
kling-elements-advanced,False,excluded_no_2k,无2K标签（不纳入2K比较）,elementName|elementDescription|referenceType,,,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-fast-official/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrls|resolution,720p|1080p,,schema_snapshot_only; run evidence separately scoped
gemini-omni-flash/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|resolution,720p|1080p|4k,4|6|8|10,schema_snapshot_only; run evidence separately scoped
gemini-omni-flash/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrls|duration|resolution,720p|1080p|4k,4|6|8|10,schema_snapshot_only; run evidence separately scoped
volc-subtitle-erase/video,False,excluded_no_2k,无2K标签（不纳入2K比较）,videoUrl,,,schema_snapshot_only; run evidence separately scoped
gemini-omni-flash/video-edit,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|videoUrl,720p|1080p|4k,,schema_snapshot_only; run evidence separately scoped
volc-subtitle-erase-pro/video,False,excluded_no_2k,无2K标签（不纳入2K比较）,videoUrl,,,schema_snapshot_only; run evidence separately scoped
rhart-video-s/image-to-video-asyn,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|duration|aspectRatio,,10|15,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-pro/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|aspectRatio|imageUrl|resolution,720p|1080p|4k,8,schema_snapshot_only; run evidence separately scoped
topazlabs/video-upscale,False,excluded_no_2k,无2K标签（不纳入2K比较）,videoUrl|targetResolution|targetFps,720p|1080p|4k,,schema_snapshot_only; run evidence separately scoped
pixverse-v5.5/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|duration|generateAudioSwitch|generateMultiClipSwitch,360p|540p|720p|1080p,5|8|10,schema_snapshot_only; run evidence separately scoped
pixverse-v5.5/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|resolution|duration|generateAudioSwitch|generateMultiClipSwitch,360p|540p|720p|1080p,5|8|10,schema_snapshot_only; run evidence separately scoped
pixverse-v5.5-transition,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|endImageUrl|duration|resolution,360p|540p|720p|1080p,5|8|10,schema_snapshot_only; run evidence separately scoped
pixverse-v5.5-effects,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|effect|resolution|duration,360p|540p|720p|1080p,5|8|10,schema_snapshot_only; run evidence separately scoped
rhart-video-r/gen4-turbo-official/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|duration,,5|10,schema_snapshot_only; run evidence separately scoped
rhart-video-r/gen4-aleph-official/video-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|videoUrl,,,schema_snapshot_only; run evidence separately scoped
rhart-video-r/gen4-turbo/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|duration|aspectRatio,,5|10,schema_snapshot_only; run evidence separately scoped
rhart-video/ltx-2/text-to-video-lora,False,excluded_no_2k,无2K标签（不纳入2K比较）,,,,schema_snapshot_only; run evidence separately scoped
skyreels-v3/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrls,,,schema_snapshot_only; run evidence separately scoped
skyreels-v3/video-restyling,False,excluded_no_2k,无2K标签（不纳入2K比较）,videoUrl|styleName,,,schema_snapshot_only; run evidence separately scoped
skyreels-v3/single-shot-video-extension,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|videoUrl,,,schema_snapshot_only; run evidence separately scoped
skyreels-v3/shot-switching-video-extension,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|videoUrl,,,schema_snapshot_only; run evidence separately scoped
rhart-video-s-official/sora-upload-character,False,excluded_no_2k,无2K标签（不纳入2K比较）,videoUrl|name,,,schema_snapshot_only; run evidence separately scoped
vidu/text-to-video-q3-pro-fast,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt,720p|1080p,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,schema_snapshot_only; run evidence separately scoped
vidu/image-to-video-q3-pro-fast,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl,720p|1080p,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,schema_snapshot_only; run evidence separately scoped
vidu/start-end-to-video-q3-pro-fast,False,excluded_no_2k,无2K标签（不纳入2K比较）,firstImageUrl|lastImageUrl,720p|1080p,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,schema_snapshot_only; run evidence separately scoped
pixverse-v5.6/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|generateAudioSwitch,360p|540p|720p|1080p,5|8|10,schema_snapshot_only; run evidence separately scoped
pixverse-v5.6/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|generateAudioSwitch,360p|540p|720p|1080p,5|8|10,schema_snapshot_only; run evidence separately scoped
higgsfield/dop/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|options,,,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-lite/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|aspectRatio|resolution,720p|1080p|4k,8,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-lite/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|aspectRatio|imageUrls|resolution,720p|4k,8,schema_snapshot_only; run evidence separately scoped
pixverse-c1/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|duration|generateAudioSwitch,360p|540p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
pixverse-c1/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|resolution|duration|generateAudioSwitch,360p|540p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
pixverse-c1/transition,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|resolution|duration|generateAudioSwitch,360p|540p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
pixverse-c1/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|duration|generateAudioSwitch,360p|540p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
kling-v3.0-4k/motion-control,False,excluded_no_2k,无2K标签（不纳入2K比较）,,,,schema_snapshot_only; run evidence separately scoped
