endpoint,supports_2k,decision,reason,required_inputs,resolutions,duration_options,verification
topazlabs/video-frame-interpolation,False,excluded_no_2k,无2K标签（不纳入2K比较）,videoUrl|outputWidth|outputHeight|model,,,schema_snapshot_only; run evidence separately scoped
rhart-video-flux3/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution,hd|fhd,,schema_snapshot_only; run evidence separately scoped
rhart-video-flux3/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|keyframes|resolution,hd|fhd,,schema_snapshot_only; run evidence separately scoped
rhart-video-flux3/video-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|startVideo|resolution,hd|fhd,,schema_snapshot_only; run evidence separately scoped
rhart-video-flux3/draft-enhance,False,excluded_no_2k,无2K标签（不纳入2K比较）,draftCache|resolution,hd|fhd,,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-h3/regeneration-text-to-video,True,regeneration,需768P源视频及最终提示词,prompt|baseVideoUrl|resolution,2K,,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-h3/regeneration-image-to-video,True,regeneration,需768P源视频及最终提示词,prompt|baseVideoUrl|resolution,2K,,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-h3/regeneration-multimodal-to-video,True,regeneration,需768P源视频及最终提示词,prompt|baseVideoUrl|resolution,2K,,schema_snapshot_only; run evidence separately scoped
bytedance/seedance-2.5-token/text-to-video,True,direct_text,仅提示词直出,prompt|resolution|duration,480p|720p|1080p|2k|4k,-1|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,schema_snapshot_only; run evidence separately scoped
bytedance/seedance-2.5-token/image-to-video,True,required_media,需前置媒体生成及计费,resolution|duration|firstFrameUrl,480p|720p|1080p|2k|4k,-1|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,schema_snapshot_only; run evidence separately scoped
bytedance/seedance-2.5-token/multimodal-video,True,optional_media,无媒体输入待验证,prompt|resolution|duration,480p|720p|1080p|2k|4k,-1|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,schema_snapshot_only; run evidence separately scoped
rhart-video-g-official/reference-to-video-v1.5,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|referenceImages|duration|resolution,480p|720p,,schema_snapshot_only; run evidence separately scoped
rhart-video-g-official/text-to-video-v1.5,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|resolution,480p|720p|1080p,,schema_snapshot_only; run evidence separately scoped
alibaba/wan-3.0/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,firstFrameUrl|resolution|aspectRatio|duration,480P|720P|1080P,auto|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,schema_snapshot_only; run evidence separately scoped
alibaba/wan-3.0/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|aspectRatio|duration,480P|720P|1080P,auto|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,schema_snapshot_only; run evidence separately scoped
alibaba/wan-3.0-prime/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,firstFrameUrl|resolution|aspectRatio|duration,480P|720P|1080P,auto|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,schema_snapshot_only; run evidence separately scoped
alibaba/wan-3.0-prime/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|aspectRatio|duration,480P|720P|1080P,auto|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,schema_snapshot_only; run evidence separately scoped
google/gemini-omni-1.1-flash/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|resolution,360p|720p|1080p|4k,,schema_snapshot_only; run evidence separately scoped
google/gemini-omni-1.1-flash/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|resolution,360p|720p|1080p|4k,,schema_snapshot_only; run evidence separately scoped
google/gemini-omni-1.1-flash/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|prompt|duration|resolution,360p|720p|1080p|4k,,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-h3-max/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|duration|ratio,480P|768P,5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-h3-max/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|duration,480P|768P,5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
minimax/h3-max-turbo/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|duration|aspectRatio,480p|768p,5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
minimax/h3-max-turbo/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstFrameUrl|resolution|duration,480p|768p,5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
google/gemini-omni-1.1-flash/video-edit,False,excluded_no_2k,无2K标签（不纳入2K比较）,videoUrl|prompt|resolution,360p|720p|1080p|4k,,schema_snapshot_only; run evidence separately scoped
