endpoint,sku_id,name,category,output_type,resolutions,explicit_2k,classification,presence,upstream_updated_at,retrieved_at,source_url
hitem3d-portrait-v21/multi-image-to-3d,2028733219521970177,hitem3d-portrait-v21/multi-image-to-3d,image-to-3D,other,1536pro,False,not_video,in_both,2026-07-27 11:16:03,2026-09-21T07:32:11.407341+00:00,https://www.runninghub.cn/call-api/api-detail/2028733219521970177
hitem3d-v15/image-to-3d,2028725956430282754,hitem3d-v15/image-to-3d,image-to-3D,other,512|1024|1536|1536pro,False,not_video,in_both,2026-07-27 11:15:15,2026-09-21T07:32:10.164994+00:00,https://www.runninghub.cn/call-api/api-detail/2028725956430282754
hitem3d-v15/multi-image-to-3d,2028731529062268929,hitem3d-v15/multi-image-to-3d,image-to-3D,other,512|1024|1536|1536pro,False,not_video,in_both,2026-07-27 11:15:35,2026-09-21T07:32:10.853290+00:00,https://www.runninghub.cn/call-api/api-detail/2028731529062268929
hitem3d-v2/image-to-3d,2028730859546492930,hitem3d-v2/image-to-3d,image-to-3D,other,1536|1536pro,False,not_video,in_both,2026-07-27 11:15:25,2026-09-21T07:32:10.639403+00:00,https://www.runninghub.cn/call-api/api-detail/2028730859546492930
hitem3d-v2/multi-image-to-3d,2028732142722498561,hitem3d-v2/multi-image-to-3d,image-to-3D,other,1536|1536pro,False,not_video,in_both,2026-07-27 11:15:44,2026-09-21T07:32:10.867158+00:00,https://www.runninghub.cn/call-api/api-detail/2028732142722498561
hitem3d-v3/image-to-3d,2133100000000700041,hitem3d-v3/image-to-3d,,other,2048quality|2048master,False,not_video,not_in_retained_github_snapshot,2026-09-18 16:23:43,2026-09-21T07:32:55.555230+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000700041
hitem3d-v3/multi-image-to-3d,2133100000000700042,hitem3d-v3/multi-image-to-3d,,other,2048quality|2048master,False,not_video,not_in_retained_github_snapshot,2026-09-18 16:23:46,2026-09-21T07:32:56.736787+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000700042
hunyuan3d-v3.1/image-to-3d,2019395031670263809,混元图生3D模型v3.1,image-to-3D,other,,False,not_video,in_both,2026-09-18 15:25:13,2026-09-21T07:32:05.828943+00:00,https://www.runninghub.cn/call-api/api-detail/2019395031670263809
hunyuan3d-v3.1/text-to-3d,2019394105442111490,混元文生3D模型v3.1,text-to-3D,other,,False,not_video,in_both,2026-07-24 20:01:14,2026-09-21T07:32:05.671640+00:00,https://www.runninghub.cn/call-api/api-detail/2019394105442111490
kling-elements,2029753575120650241,kling-elements,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:40:35,2026-09-21T07:32:12.562033+00:00,https://www.runninghub.cn/call-api/api-detail/2029753575120650241
kling-elements-advanced,2052288678866534402,可灵 o3 创建主体,video-tools,video,,False,excluded_no_2k,in_both,2026-07-27 10:41:56,2026-09-21T07:32:33.867678+00:00,https://www.runninghub.cn/call-api/api-detail/2052288678866534402
kling-lip-sync/identify-face,2034161609456504838,可灵对口型-人脸识别,audio-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:32:50,2026-09-21T07:32:16.114667+00:00,https://www.runninghub.cn/call-api/api-detail/2034161609456504838
kling-lip-sync/lip-sync-video,2034581230479212554,可灵对口型-视频生成,audio-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:37:04,2026-09-21T07:32:18.850422+00:00,https://www.runninghub.cn/call-api/api-detail/2034581230479212554
kling-lip-sync/tts,2034581230479212553,可灵对口型-语音合成,text-to-audio,other,,False,not_video,in_both,2026-07-27 10:33:00,2026-09-21T07:32:18.359610+00:00,https://www.runninghub.cn/call-api/api-detail/2034581230479212553
kling-v2-ai-avatar-pro/image-audio-to-video,2049010596356988947,Kling V2 Pro 数字人口播视频,digital-human,video,,False,excluded_no_2k,in_both,2026-07-27 10:37:22,2026-09-21T07:32:33.130091+00:00,https://www.runninghub.cn/call-api/api-detail/2049010596356988947
kling-v2-ai-avatar-standard/image-audio-to-video,2049010596356988931,Kling V2 Std 数字人口播视频,digital-human,video,,False,excluded_no_2k,in_both,2026-07-27 10:37:13,2026-09-21T07:32:31.700639+00:00,https://www.runninghub.cn/call-api/api-detail/2049010596356988931
kling-v2.5-turbo-pro/image-to-video,2011409246597754881,可灵图生视频2.5-turbo-pro,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:26:05,2026-09-21T07:31:50.298811+00:00,https://www.runninghub.cn/call-api/api-detail/2011409246597754881
kling-v2.5-turbo-pro/text-to-video,2011408949544562690,可灵文生视频2.5-turbo-pro,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:25:57,2026-09-21T07:31:49.753828+00:00,https://www.runninghub.cn/call-api/api-detail/2011408949544562690
kling-v2.5-turbo-std/image-to-video,2011410147815272449,可灵图生视频2.5-turbo-std,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:26:16,2026-09-21T07:31:50.331575+00:00,https://www.runninghub.cn/call-api/api-detail/2011410147815272449
kling-v2.5-turbo-std/text-to-video,2049745693465419778,可灵文生视频2.5-turbo-std,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:37:30,2026-09-21T07:32:31.935935+00:00,https://www.runninghub.cn/call-api/api-detail/2049745693465419778
kling-v2.6-pro/image-to-video,2013097204925132801,可灵图生视频2.6-pro,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:27:20,2026-09-21T07:31:59.378673+00:00,https://www.runninghub.cn/call-api/api-detail/2013097204925132801
kling-v2.6-pro/motion-control,2021508655436025857,kling-v2.6-pro-动作控制,motion-control,video,,False,excluded_no_2k,in_both,2026-07-27 10:32:41,2026-09-21T07:32:09.605647+00:00,https://www.runninghub.cn/call-api/api-detail/2021508655436025857
